sample_dir,subject_name,timestamp,condition,mask_path,spectrum_path
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P041_Pig001_Pilot_2019_12_14_Experiment1\2019_12_14_13_42_00,P041_Pig001_Pilot_2019_12_14_Experiment1,2019_12_14_13_42_00,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P041_Pig001_Pilot_2019_12_14_Experiment1\2019_12_14_13_42_00\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P041_Pig001_Pilot_2019_12_14_Experiment1\2019_12_14_13_42_00\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P041_Pig001_Pilot_2019_12_14_Experiment1\2019_12_14_13_42_20,P041_Pig001_Pilot_2019_12_14_Experiment1,2019_12_14_13_42_20,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P041_Pig001_Pilot_2019_12_14_Experiment1\2019_12_14_13_42_20\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P041_Pig001_Pilot_2019_12_14_Experiment1\2019_12_14_13_42_20\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_18_48,P042_Pig002_G001_2019_12_15_Experiment1,2019_12_15_11_18_48,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_18_48\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_18_48\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_19_14,P042_Pig002_G001_2019_12_15_Experiment1,2019_12_15_11_19_14,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_19_14\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_19_14\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_19_35,P042_Pig002_G001_2019_12_15_Experiment1,2019_12_15_11_19_35,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_19_35\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_11_19_35\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_13_04_16,P042_Pig002_G001_2019_12_15_Experiment1,2019_12_15_13_04_16,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_13_04_16\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P042_Pig002_G001_2019_12_15_Experiment1\2019_12_15_13_04_16\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_12_37,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_12_37,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_12_37\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_12_37\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_13_17,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_13_17,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_13_17\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_13_17\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_13_43,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_13_43,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_13_43\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_13_43\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_00,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_14_00,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_00\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_00\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_31,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_14_31,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_31\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_31\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_50,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_14_50,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_50\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_14_50\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_19_20,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_19_20,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_19_20\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_19_20\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_19_38,P043_OP033_2019_12_20_Experiment1,2019_12_20_11_19_38,baseline,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_19_38\_hypergui_1\mask.csv,C:\DKFZ\MLData\data\Cat_Pig\Cat_atlas\Cat_0007_kidney\data\P043_OP033_2019_12_20_Experiment1\2019_12_20_11_19_38\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data.xlsx
